,sender_name,recipient_name,text,date
0,JuiceWorlddd, ,"Rip John Witherspoon , One of the many iconic African American actors. From the Friday movies and soul plane to the Wayne’s bro’s and many more in between.. Rip big dawg ",2019-10-30 06:54:20+00:00
20,JuiceWorlddd, ,Lmao nigga what ?? You should be shaking Yo head at yo fucking self for making that assumption..Bibby my brother always will be. Ain’t none gone change about that NLMB150DT999,2019-10-19 15:27:35+00:00
21,JuiceWorlddd, ,Bitch u forgot about me,2019-10-19 09:57:36+00:00
22,JuiceWorlddd, ,MY DREAM IS 2 MAKE A ANIME SERIES N HAVE @takashipom DO THE ARTWORK ,2019-10-19 05:56:43+00:00
1,JuiceWorlddd, ,Don’t got the time nor patience to phony kick it ,2019-10-19 03:05:04+00:00
23,JuiceWorlddd, ,On Ls I’m irra and ion kno why,2019-10-19 01:45:05+00:00
2,JuiceWorlddd, ,I’ll never forget about the demons I conquered. Ik I got a ways to go but I still made it further then most ,2019-10-17 06:40:45+00:00
24,JuiceWorlddd, ,Damn it feel like im getting sick,2019-10-17 01:12:01+00:00
3,JuiceWorlddd, ,These same thoughts harass me daily. N im not fast enough to run away from it,2019-10-16 17:55:38+00:00
25,JuiceWorlddd, ,The world don’t even know about that juice wrld Jayson.. that’s one of them iconic songs,2019-10-16 00:30:20+00:00
26,JuiceWorlddd, ,Ik u hate my guts I keep you up all night cuz I love being in yours ,2019-10-13 10:54:17+00:00
4,JuiceWorlddd, ,Look me in my eyes,2019-10-13 00:36:32+00:00
27,JuiceWorlddd, ,"Trial and error C, now look at us finna take over the world",2019-10-12 10:28:43+00:00
28,JuiceWorlddd, ,Head been hurting since yesterday ,2019-10-12 08:55:27+00:00
5,JuiceWorlddd, ,Abandon all ships,2019-10-09 12:00:33+00:00
6,JuiceWorlddd, ,If it ain’t you it’s irrelevant and its ain’t nowhere near my mind..you the only thing on my mind it’ll always be that way ,2019-10-08 07:59:51+00:00
7,JuiceWorlddd, ,My head hurts ..,2019-10-07 20:31:03+00:00
29,JuiceWorlddd, ,Lets get the record to #1 #BANDIT https://smarturl.it/BanditjwNBA,2019-10-05 11:28:26+00:00
8,JuiceWorlddd, ,100% true,2019-10-05 03:12:21+00:00
30,JuiceWorlddd, ,Video is out now. Shot by @_ColeBennett_ ft @GGYOUNGBOY lets get it to #1,2019-10-04 05:02:29+00:00
9,JuiceWorlddd, ,Song will be out within the hour. Apologies for the delay.,2019-10-04 03:58:12+00:00
10,JuiceWorlddd, ,Dropping this tonight at 9m est. Shot by my brother @_ColeBennett_ txt me at 713-999-6031 if you want me to txt you the link 30 mins before it drops ,2019-10-04 01:38:40+00:00
31,JuiceWorlddd, ,Got you in this bed smiling ,2019-10-03 23:45:48+00:00
11,JuiceWorlddd, ,Bandit with @GGYOUNGBOY tomorrow ,2019-10-02 23:11:47+00:00
12,JuiceWorlddd, ,I’m your everything so that everything isn’t a problem ,2019-10-02 23:09:25+00:00
13,JuiceWorlddd, ,"Reckless I may crash out , restless still won’t pass out",2019-10-02 22:33:07+00:00
14,JuiceWorlddd, ,"I’m for the broken..we’ll find the solution, we’ll find the antidote",2019-09-29 06:15:21+00:00
15,JuiceWorlddd, ,Fuck,2019-09-29 00:19:21+00:00
32,JuiceWorlddd, ,You ignite my light blow up my fuse got a fight w the devil u won’t let me lose,2019-09-27 13:05:20+00:00
33,JuiceWorlddd, ,"My biggest fear, the subject of all my nightmares",2019-09-27 12:18:48+00:00
16,JuiceWorlddd, ,Words can be as sweet as candy or as sharp as a blade. That’s the beauty of it,2019-09-27 12:10:00+00:00
34,JuiceWorlddd, ,Of fucking course,2019-09-27 08:44:24+00:00
17,JuiceWorlddd, ,I love my life and the ppl it... thank you God for giving me what I have..give me strength to fuck Satan up if he comes this way..amen,2019-09-27 06:45:12+00:00
18,JuiceWorlddd, ,Thank you God for waking me up when u ain’t have to..This life is a blessing I won’t take for granite,2019-09-25 23:28:00+00:00
35,JuiceWorlddd, ,Christ,2019-09-25 04:44:03+00:00
36,JuiceWorlddd, ,Blew I fucked my retros up,2019-09-21 06:06:56+00:00
37,JuiceWorlddd, ,U talking that talk Uk,2019-09-20 23:07:48+00:00
38,JuiceWorlddd, ,I fantasize about her all the time like she ain’t already mine..nothing but lotti on my mind,2019-09-19 10:11:43+00:00
19,JuiceWorlddd, ,Forever and even after that,2019-09-19 05:08:59+00:00
39,JuiceWorlddd, ,"Most mf’s no bro u CANT, not even your “bro” u already know that tho bloody miss you",2019-09-18 21:41:38+00:00
