,sender_name,recipient_name,text,date
19,kobebryant, ,one of you that follows and purchases will get a personal video message from me with your purchase!,2019-10-23 18:04:50+00:00
0,kobebryant, ,"Launching my new LIVE channel on TalkShopLive! Join me live on Friday, October 25th at 11am PT to chat about my new book Epoca: The Tree of Ecrof! Follow my channel here https://granity.me/32IhMwK. Random copies sold during my live will be signed!",2019-10-23 18:04:33+00:00
1,kobebryant, ,Congrats @WashMystics and @De11eDonne on winning the #WNBAFinals #champs,2019-10-11 04:16:52+00:00
2,kobebryant, ,It’s the magic within each of us that gives us the potential to inspire the world. Thanks to @QRich &amp; @21Blackking for having me on to talk #LegacyAndTheQueen and hoops. #Knuckleup,2019-09-25 23:04:18+00:00
20,kobebryant, ,Happy Birthday @PHEEsespieces ,2019-09-23 15:02:04+00:00
21,kobebryant, ,YO! HAPPY BIRTHDAY to my brother @CalSwish_Nike #blessed #Grateful,2019-09-21 16:57:12+00:00
22,kobebryant, ,Congrats fellas @JerryCraft @JasonReynolds83 @MarlonJames5 for being longlisted to this year’s @nationalbook Awards. Keep inspiring the younger generation to flex their imagination #NationalBookAwards,2019-09-20 22:37:30+00:00
23,kobebryant, , ,2019-09-20 02:52:17+00:00
3,kobebryant, ,Congrats @De11eDonne well deserved #mvp,2019-09-19 13:56:07+00:00
4,kobebryant, ,Thank you for your incredible support China! It is an honor to share my passion for storytelling with you all. #Wizenard #GranityStudios,2019-09-17 21:05:18+00:00
24,kobebryant, ,It was an honor introducing #LegacyandtheQueen to tennis legend Li Na! Loved talking about how tennis can inspire the next generation and the life lessons within the game. #GranityStudios,2019-09-16 18:49:00+00:00
25,kobebryant, ,Amazing final. Well deserved @rickyrubio9!! Congrats on a special year and watching you grow has been truly remarkable. Keep pushing MVP #EspañaGotGame #FIBAWC,2019-09-16 02:34:33+00:00
5,kobebryant, ,Great basketball with great people at the @FIBAWC. Sunday’s SpainvsArgentina game is going to be epic. #WorldGotGame #FIBAWC @manuginobili,2019-09-13 16:26:22+00:00
6,kobebryant, ,Simply not true.,2019-09-12 00:13:31+00:00
7,kobebryant, ,Not. At. All. ,2019-09-11 23:34:39+00:00
8,kobebryant, ,"For the record, even thou they HATED fourth place. I did ask them to at least smile for one pic ",2019-09-11 23:20:49+00:00
9,kobebryant, ,And for the record my daughter wears #2 because @sydneyleroux is her favorite athlete #soccer,2019-09-11 21:22:17+00:00
10,kobebryant, ,Doing a dance to miss the game isn’t a bad thing. That’s not what I was saying. I was just giving context as to why she wasn’t in the picture. All my girls play/played diff sports. It’s all good and For the record I followed their lead on not smiling. They HATED those trophies,2019-09-11 21:14:23+00:00
11,kobebryant, ,"sorry if it came across as a slight, trust me it wasn’t. I was just giving the reason for her not being in the pic. They chose not to smile for the pic I actually followed their lead. Our team has become family and this includes the 7th player",2019-09-11 21:05:19+00:00
12,kobebryant, , some kids hate loosing bro and that’s ok. They have worked hard to improve because of it.,2019-09-11 20:47:28+00:00
13,kobebryant, ,Nah fam I was just explaining why she wasn’t in the pic. Most of my kids on the team played and still play other sports including my daughter so it’s all love. Don’t misunderstand the message.,2019-09-11 20:42:38+00:00
26,kobebryant, ,Great speaking with the next generation @USTA #LegacyandtheQueen http://bit.ly/legacyandthequeen,2019-09-10 19:26:51+00:00
27,kobebryant, ,It’s the perfect animated film. The detail of every shot. The difficulty of animating a wooden boy floating in water. They waves created by monstro. The detail in the performance of Stromboli. I can go on and on. It’s Disney’s masterpiece and an animators dream #inspired,2019-09-10 18:52:04+00:00
28,kobebryant, ,"It's time to start training harder, time to start training Smarter. ",2019-09-10 16:33:28+00:00
